호선명,지하철역,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원
"경의,공항철도1",계양,6525,639,15895,2451,43191,3246,37585,5160,17948,3759,10665,3173,9607,3463,9189,4524,8044,5284,6644,5665,6594,8249,7529,9593,8072,16561,7161,32366,4364,33378,3091,17961,2577,15847,1699,12120
5,고덕,2992,1321,10343,5490,25396,11716,22070,14180,10461,7947,8418,7002,8524,6423,9014,7438,9218,9200,9442,8781,10827,9061,15198,10188,14423,13330,12004,21212,6047,22815,4680,9722,4673,9438,4532,6326
6,고려대,3156,686,6267,3137,17206,9119,20492,22094,10862,8909,6898,5983,6929,6034,7351,6630,8219,7764,7696,6897,8772,7465,11315,8498,16584,10769,17121,18663,8290,15503,5874,9368,6622,9085,5107,6863
수인,고색,648,152,1634,637,3617,2786,2969,3721,1829,943,1673,888,1764,1197,1824,1194,1630,1337,1735,1771,1733,1841,2020,2357,3089,2590,4394,3485,1640,3350,1355,2334,840,1927,655,1543
"3,7,9",고속터미널,6572,6077,12127,54316,38949,85447,57581,125200,55130,126534,50408,100291,61309,95064,71323,94221,77592,101950,83967,100847,101656,102656,115273,99540,150328,111002,162607,131340,122418,86021,136919,48964,87923,39388,59717,23042
안산,고잔,4223,784,10523,3725,24846,10738,17177,22576,9817,10962,8603,7471,8967,6565,8308,7151,7997,8197,8213,8370,9639,7536,10525,8035,15073,11283,17920,18512,7523,15415,5354,10278,4943,8128,3321,6417
경의,곡산,157,183,678,489,1432,1274,1149,2092,705,801,573,567,548,411,475,520,508,505,606,552,788,561,763,689,1211,785,1602,1406,587,940,539,699,359,478,241,360
경강,곤지암,611,111,1672,1308,5294,4374,4627,4371,2917,2163,1959,1564,2076,1614,2229,2015,2209,1988,2272,1920,2471,2318,2983,2646,5191,3538,5095,4646,2108,5099,1307,2669,785,2713,342,1749
"5,6,경의,공항철도 1",공덕,7353,2777,14425,16147,40804,67658,51908,172975,30463,94450,23904,35538,27890,28914,30230,28072,32798,29445,33660,30036,39336,30214,48802,32866,84157,45521,150181,74178,62702,47217,43910,24812,41256,22404,24515,15762
7,공릉,5822,1014,12343,3538,31183,9075,35731,18830,18220,11264,12698,8562,11664,8527,12468,10449,12629,11431,13017,11374,13848,13014,15042,15705,15506,20690,18229,33430,10212,30608,7985,16827,6989,14739,5359,11321
9,공항시장,2749,119,3953,1001,7551,1713,7800,3398,4635,2432,3590,2668,3443,2805,3677,2821,3600,3059,3339,3478,3467,4229,3279,4808,3475,6036,3213,8539,2220,8393,1802,5162,1587,4095,991,3310
공항철도 1,공항화물청사,399,572,1019,6097,1606,11966,2170,19625,1569,3700,462,1933,645,2588,873,3439,1281,1413,1875,841,2494,699,4867,1313,8449,1234,14717,798,4212,975,2116,1881,2729,744,2527,238
과천,과천,1313,713,5315,9721,15581,3788,15144,6557,8247,3598,5290,2979,4774,3138,5300,3630,5569,3597,5423,3754,6062,4199,9906,5389,10210,6909,6510,12480,3289,10979,1904,5962,1345,5442,897,4441
경부,관악,6961,2244,10393,3918,27891,4708,25549,8473,12591,7315,7620,6780,6751,5224,7057,5768,7075,5594,7207,5750,7164,6537,8745,8109,9704,11881,9364,23370,5555,19462,4053,10242,3691,9903,1868,7080
5,광나루,4655,1677,13288,7695,31586,13330,37690,24386,21418,15094,13179,13047,11982,10732,12801,11130,14196,11390,14174,11750,15025,12465,18286,15106,19580,19460,24939,31828,12840,22527,8412,14776,7488,12542,5856,9683
경부,광명,18,2165,2239,3302,10418,3563,8174,2844,4555,2841,698,2109,2762,1369,3305,2111,2397,1777,2399,3710,2698,2297,7936,2768,1234,4030,5897,9557,5810,6032,1006,3262,3420,2154,1403,3143
7,광명사거리,21515,5241,28193,11388,72770,15055,83980,25204,42603,24022,26417,19196,24224,21575,25946,23094,25974,23930,24701,25265,24822,31236,27762,35364,31433,47527,29710,77217,19646,61071,15247,32450,11445,29409,7263,20654
경원,광운대,5372,1244,11094,2641,28730,4562,26054,8830,13125,6713,9603,5845,8122,6895,8704,7071,8883,7564,8728,8288,8288,9618,8808,11062,9578,14380,8700,22136,5169,19758,4154,11706,3772,9195,2971,7271
5,광화문,811,608,2757,20079,7388,68672,10743,206326,9465,84909,9474,30677,13437,25888,16097,22752,20215,25509,24145,21468,29993,18881,40770,17725,79547,20241,163241,23436,61185,13078,40066,5821,37774,4553,19495,2754
6,광흥창,2471,1128,5861,4159,14629,13435,17902,31296,11475,14799,7947,7203,7585,6029,7779,6721,8303,7263,9030,7455,9519,8227,11145,8680,16416,11190,26751,17358,12231,13246,7536,7535,6757,6976,4078,5503
"2,3",교대,2862,7261,13096,29516,25983,60393,36515,178488,29214,148613,28712,69246,35610,48951,39309,43937,45496,51317,56393,49190,63897,44517,71136,42272,119263,49684,182100,61724,79471,38918,57830,20827,59031,17774,36416,12869
경부,구로,21756,4904,17909,11733,32110,31581,31644,73001,20169,39003,15780,21258,15816,17536,17149,17039,17384,17759,18752,17756,20854,20273,25453,22447,43138,31538,61074,38437,27154,27103,18071,17499,15356,17413,10035,11362
2,구로디지털단지,37073,6175,47868,22027,119614,73382,155247,215653,95667,125317,51831,47117,44927,37742,48991,38030,50702,43167,47466,44561,50938,53776,61323,60625,106301,90173,186860,140888,92761,112027,52798,67886,43779,71124,28904,51972
분당,구룡,289,318,1003,3360,2239,5673,2657,4578,1817,2289,1570,1310,2235,1107,1717,1293,1931,1510,1895,1464,2236,1567,4768,1386,4667,1806,3301,2524,1410,2113,917,1231,1804,1118,466,936
중앙,구리,7772,1615,17490,6496,49686,8886,41589,16976,19688,14529,13694,11362,14193,10570,14284,10475,13519,13714,13033,13412,13675,14647,15677,19208,17570,24748,17521,41935,10791,37645,9840,21535,6423,16400,4713,13489
9,구반포,450,206,1452,1579,3378,3000,4397,6216,2913,3995,2331,2980,2237,2897,2784,3111,3169,3384,3270,3162,3503,3461,4242,3371,5099,4304,7263,6216,3811,4331,2888,2330,2393,2020,1603,1590
6,구산,4340,167,9220,2060,23549,4717,28231,5684,13530,4390,8494,3794,7486,4972,7998,4496,7455,5403,6757,5666,7551,7323,8730,8892,7519,10461,6944,16583,4408,16367,3390,7901,2836,6933,2508,5151
분당,구성,2179,435,6377,2587,17321,3931,15864,7040,8272,3048,5518,2700,4770,3150,4515,3325,4408,3554,4571,3856,4162,4840,4420,6157,5894,8844,6263,15270,3163,14288,2327,8590,1946,6477,1335,5770
2,구의,12579,1025,22739,8803,57117,12914,93637,34479,52998,21088,26442,15738,21313,15214,22039,17296,22765,19323,21035,21159,21102,26838,23592,30721,27159,44125,35174,76630,18979,56024,14322,35082,13827,33538,10816,25371
경인,구일,3322,1458,8372,3130,22264,6726,20265,9601,9613,5262,6573,3565,6125,3650,6312,4622,6270,5187,6082,5501,6150,6799,7082,7997,8029,11128,9092,22954,4486,18071,3184,9544,3195,7910,2308,5325
3,구파발,8584,1359,25830,8182,70577,20796,68274,25016,33672,22941,21665,20406,20224,17196,21515,18968,20759,20393,21022,20226,23811,20899,26168,24564,29002,32409,25860,57964,15916,50450,12215,27251,10849,24297,8378,16255
중앙,국수,545,20,971,405,1700,610,1486,1532,1318,1245,954,929,980,1157,915,917,1222,852,1218,887,1472,917,1564,1077,1180,1088,877,1385,507,1182,270,959,243,1044,85,598
9,국회의사당,699,1265,1198,6959,3019,36417,4579,123851,4065,52986,4791,15673,7607,10958,7844,9799,9763,10876,12980,8535,15271,7209,18609,6643,50944,7575,94281,7352,32466,4711,18739,2645,16428,2381,9131,1592
"5,7",군자,14922,1790,22436,11687,57997,14413,88575,41717,48460,27471,24870,16502,22327,16207,23344,17640,23997,19809,22799,21103,23628,26392,27551,29948,34765,44027,45386,75677,28408,58592,22029,31702,20564,29081,14822,22575
경부,군포,4992,1889,8242,6911,16122,26988,14829,41757,8077,6685,5800,4229,5370,3925,5729,4444,5680,4787,5499,4233,5822,5366,7371,6438,17120,9662,32602,11954,11096,11695,9581,6996,5939,6270,3317,4317
경춘,굴봉산,39,6,58,76,171,168,239,415,177,377,175,732,238,383,199,338,350,253,437,211,526,261,478,150,474,173,232,197,97,106,77,74,25,56,8,37
7,굴포천,6064,455,13310,2929,31310,4292,30907,9931,15485,6838,8882,5634,8053,5597,8304,6518,8263,7044,7426,7919,7434,8154,8237,11729,9156,17313,10770,31011,6296,29940,4614,16914,4626,13570,3267,10261
5,굽은다리,5760,422,10880,2408,31239,5263,32146,11138,16438,7498,10444,6163,9414,6208,10273,6778,9930,7986,9191,8500,9218,10206,9824,12779,10512,16113,11706,28610,6628,23305,4814,12574,4536,13423,3106,8677
경춘,금곡,1410,341,2243,975,4314,1777,4014,3712,2518,1691,2069,1252,1719,1282,1791,1407,1762,1494,1588,1558,1842,1648,1800,2026,1995,2495,3254,3295,1134,3350,698,1612,560,1624,397,1110
경의,금릉,2345,275,6271,2027,14111,4367,9054,8342,5763,4001,4415,3276,4677,2904,4554,2966,4516,4094,4117,3930,4299,4564,4983,5939,6387,7332,7380,10535,3735,10958,3120,5068,2381,4845,1667,4273
경부,금정,20806,7278,29546,19970,68367,36619,68656,74562,36682,25006,23327,16533,21418,16541,23239,18314,23119,19551,21524,21045,22453,24071,27591,31232,45951,44389,62504,67453,27674,59310,21678,35154,18175,33904,11419,23869
경부,금천구청,10215,1559,16036,5114,38951,13768,35698,25659,19353,9455,12129,7226,10491,7042,11322,9078,10894,9740,10136,9991,10465,12510,11299,14757,13894,21143,22202,37736,10192,28448,7234,14895,6073,14904,3997,10143
경의,금촌,2780,249,8515,3694,15363,9084,13708,13803,8638,7343,7030,6255,7218,5553,7164,6429,7679,7267,7162,6191,7534,7668,8596,9242,10556,10133,13295,13240,6426,12676,4684,7602,3536,6989,2252,4634
3,금호,4373,486,8701,2476,21966,4294,29316,7895,17832,5850,11155,5542,9122,5651,9351,6606,9612,7011,8581,8066,8457,10047,8895,12221,9227,17161,9837,25199,6358,18844,4958,12663,4161,10430,2626,7602
분당,기흥,4510,494,11650,3875,28789,6370,29406,10623,14690,5767,9646,4945,8412,5616,8181,5974,8456,7564,8194,7303,8193,8769,9568,10188,11784,16015,13906,28885,7658,25278,6341,15415,5802,12287,4119,10026
5,길동,4337,424,7566,2895,18913,5234,23369,15425,11193,10042,8516,7011,8282,7404,8866,7217,9143,8213,8598,8775,8730,10346,9560,12645,10929,14105,13767,22682,6898,18007,5009,10498,4479,7870,2675,5938
4,길음,8294,1958,24770,7917,68539,11469,72534,23668,37342,17038,22488,12923,18841,14287,20080,14768,20066,17048,18643,17962,19105,21914,20673,26770,25319,37683,24481,64191,15218,53867,11759,30483,8782,26261,7381,19978
경춘,김유정,55,4,166,78,303,535,299,668,223,595,238,779,295,1015,408,841,603,698,694,634,952,556,918,442,901,472,740,458,329,256,175,197,94,136,38,127
"5,9,공항철도 1",김포공항,3227,3699,7139,21117,16360,38062,20328,47168,22311,33848,24655,29939,26951,32344,25015,36171,32993,41029,34718,34756,35640,30940,32960,38195,48257,42293,56619,44485,43560,28015,36072,11804,40421,6524,27602,4327
5,까치산,22118,1318,37043,7944,108410,9946,130666,19497,63908,16360,35660,15642,30586,17259,31100,20341,30719,22529,26647,26970,25170,35473,25520,42254,25420,57105,26568,106971,17249,88601,13411,53243,11385,47092,8433,34260
7,까치울,3903,922,9078,3860,26204,5364,33943,8330,14973,4318,7610,3877,6573,4870,7230,5592,7332,5831,6586,6223,6721,6663,7814,9884,8833,15313,8995,25438,5260,22660,4140,13202,3386,11099,2154,8351
2,낙성대,10921,1807,22735,8229,67642,16215,103605,32482,65920,26968,32832,19866,26818,17845,29154,20733,29966,21935,27351,24676,28162,28955,30962,33653,36971,49470,41616,84480,25134,72455,18431,45209,17441,42165,12993,34713
7,남구로,17801,1786,14618,6024,27463,28829,29429,91242,18372,42315,12152,15118,10957,12403,11996,11730,12040,12378,12229,12100,13789,13751,16391,17699,34284,29719,68802,29234,31135,20323,15952,13570,11806,15849,6873,10567
수인,남동인더스파크,345,742,648,3095,890,15202,1740,17157,1322,3279,1252,1401,1377,1280,1611,1367,1679,1224,1977,1596,2829,1013,2810,1106,10038,1083,11668,1283,3972,2023,3347,1030,2116,605,498,348
3,남부터미널,2430,965,7209,22006,20898,49964,30057,134699,24401,70892,21085,36729,23436,27280,25079,27865,28377,29414,30109,30562,35308,30554,41199,31523,72878,34703,115732,42700,53018,29345,34162,16804,28444,13607,17842,8575
7,남성,5361,712,11438,3831,32960,5821,47642,13173,26568,8751,14119,7477,11551,7584,11527,8772,11691,9854,10901,10521,10705,12738,11092,15146,11877,20796,13832,36229,7838,28009,6947,16165,6421,14899,4145,11078
경부,남영,2221,1193,3662,7432,9879,17921,12773,45125,8324,25815,6930,8777,7287,7858,8096,8420,8729,9007,10727,8265,11576,8375,14651,9014,21567,12275,41636,16860,15353,12036,10094,7163,9186,6502,6040,5233
경춘,남춘천,1288,16,2908,669,2687,1848,2818,2910,2701,2826,2537,2437,2846,4372,3157,4761,3641,3129,4277,3457,4094,3902,4114,3064,4272,4522,3418,2797,2577,5863,2529,2724,2034,1841,1257,2051
4,남태령,432,71,852,1311,1887,2943,2233,3279,1868,1300,1250,950,1401,863,1389,969,1284,929,1500,974,1370,1092,2138,1108,2968,1317,2572,1543,1326,1245,811,783,405,813,228,445
8,남한산성입구,8846,1279,17809,4488,41103,10781,53902,20388,26872,11600,15383,9110,13475,8486,13397,9847,13848,10759,12842,11098,12733,14282,13788,16988,17250,20929,19534,37280,10035,31887,5769,18408,4673,17751,2956,14158
7,내방,2283,1455,6234,10462,14524,21842,22669,71652,15103,38648,10661,15193,10956,11458,11802,11701,13999,12953,14325,12071,15863,12340,20004,13118,32742,17199,62891,23775,22724,16985,14833,9766,14805,8695,9085,6274
9,노들,3099,196,4344,1235,13432,1766,16824,3214,9085,2529,5835,2565,4763,2711,4667,3161,5082,3558,4722,3782,4246,5597,4614,5610,5067,8162,5062,13809,3219,10234,2275,5726,2054,5508,1558,4081
"9,경부",노량진,18362,3126,26413,13942,65621,29991,90734,57826,50172,31922,32210,24812,31022,24815,33360,30958,35919,33434,34204,31045,34390,38043,38635,42152,46279,62808,59928,97120,33162,65637,29522,39679,28504,38725,25096,29086
"4,7",노원,16691,2720,33514,12706,79054,23619,79786,59411,49607,60485,40704,44405,41952,38427,42448,41839,43855,48416,45699,50587,48676,55325,53402,59271,55650,73231,63015,112912,40903,93132,43661,48354,32063,42025,24203,30780
3,녹번,7904,682,20241,5596,53989,6935,61323,15900,31960,7785,18570,6966,15093,7892,14769,9032,14391,9477,12844,10770,12049,13512,13282,17402,14621,25615,16500,48109,7488,42530,5417,23523,4515,20583,3446,14828
6,녹사평,998,317,1617,3325,4202,7438,6408,14247,4266,6305,3567,4986,3458,4185,3801,5416,4293,5626,4799,5729,5747,5896,8284,6650,10099,7775,14812,10569,9045,7594,7647,4048,7923,3599,5806,2863
경원,녹양,4508,825,7491,2495,15119,3711,12619,8227,6927,3878,5707,3054,5264,3605,5353,3935,4847,3949,4516,3449,5031,5100,5092,6390,5795,7746,6691,11420,3554,11293,2451,7785,1949,5745,1295,4437
경원,녹천,3900,670,6904,1409,18239,2820,14708,4071,9171,1986,6458,2634,5203,3129,6360,3997,5335,3788,4578,3776,4678,5294,5341,6595,4696,7645,4246,12454,3018,11426,1741,6580,1574,5702,823,4190
7,논현,2237,1239,4610,15147,7674,39541,12571,104332,10763,84456,9226,32075,10916,17910,12341,15649,14336,18659,17835,17806,21748,16370,26443,16585,47086,20676,89796,25506,50570,16860,32141,8963,32476,7914,21671,5593
경의,능곡,2293,368,5499,2086,13413,2533,12593,4332,6524,2656,4563,2500,3975,2945,4009,2998,4283,3234,3457,3428,3388,4050,3998,4609,4488,6932,4403,9461,2609,8413,1993,5284,1391,4577,927,3682
8,단대오거리,7734,2258,12624,6030,29374,9347,34067,15504,18229,7961,11069,5962,10012,6530,10366,7575,10140,7585,9413,8436,9069,11472,10867,13771,13473,16872,17624,27715,8936,24171,5495,14385,4276,12710,2719,10058
수인,달월,5,66,36,147,116,121,86,309,78,88,75,104,98,101,90,74,99,120,107,80,140,55,173,80,513,64,301,91,104,55,30,24,20,21,11,19
5,답십리,8608,1150,15883,7029,47997,13174,62724,31522,27725,14562,15200,10011,13363,9770,14311,10952,14838,11735,14109,12339,14392,15298,16027,17968,21021,26493,29107,49275,15054,34807,9437,18829,8080,17470,5200,13242
4,당고개,7609,22,15781,7083,46535,7460,44313,12030,25376,10610,16559,10814,13985,9884,13923,10750,14747,11020,14122,11721,13691,14864,14079,16805,14595,21825,13465,32836,10114,32220,6166,20345,5060,17765,3428,13631
"2,9",당산,13034,4183,28211,17447,77991,39473,91278,105340,53262,52679,34193,28428,32389,26858,35439,29461,35732,32748,34608,33036,35857,37195,40608,44815,60200,68951,94768,112700,46559,80233,33940,49481,32571,45407,22837,34123
경부,당정,3183,991,8797,2917,21206,7350,18389,13624,8448,4348,5694,3321,5518,3391,5789,3841,5842,4239,5072,4258,5360,5402,6389,6666,9194,10046,13021,15052,5621,16794,4094,9941,2947,8222,2095,6162
일산,대곡,546,247,2253,1175,5972,1928,4975,2958,2438,1542,1829,1459,1916,1425,1774,1570,1676,1294,1885,1430,1964,1523,2104,1655,3040,2032,4211,3775,1937,3210,911,1610,897,1260,624,1071
과천,대공원,56,334,190,3372,867,3919,1122,7144,1366,8517,1684,9951,2413,6378,3542,4922,4039,5669,5277,5539,6692,3708,8382,2802,9128,1736,8992,1388,4838,830,2511,503,1663,412,354,218
"2,7",대림,44176,4506,34324,14433,71804,26763,97985,69221,65066,44497,38846,37149,34828,37450,37392,36406,38251,36212,37499,38620,39468,46434,42203,50515,51614,72517,66023,85397,35690,59797,25028,40993,19609,55599,12397,37859
분당,대모산입구,1887,1321,3013,9661,7110,4008,8197,7103,5368,4259,3598,2424,3583,2414,3880,2719,3460,2642,3246,2897,3919,3525,6835,3674,9712,4407,7000,6090,2947,5167,1765,3215,1244,2810,838,2254
경부,대방,5128,2237,9504,9997,25336,31655,31429,41670,17434,17616,12384,8407,11104,8292,11292,9296,11572,10644,11570,9841,13618,11185,15773,12896,27023,19262,39563,31460,15078,21516,9829,13912,8987,12706,5382,9323
경춘,대성리,185,83,437,364,856,662,763,1225,691,849,673,1015,1065,871,919,914,881,1006,1014,1070,1213,837,1458,1004,1481,803,1520,728,702,691,403,485,215,370,88,271
안산,대야미,2110,1160,6512,4230,14421,4869,15222,7781,7661,4292,5600,4001,5096,3950,5320,4106,5785,3762,5632,4353,6281,5082,7135,6227,7771,8062,8808,12484,5197,10493,3780,6546,2845,5670,1540,4736
3,대청,3069,1048,8916,6743,21571,11363,24630,19605,13177,10266,9367,6001,8655,6154,9103,6759,9801,7220,10404,7456,13245,9831,13446,10402,17420,13782,20126,21531,9387,17625,6042,10817,5061,9704,3255,8286
3,대치,2069,721,9273,6995,19497,10369,17758,19852,10657,13656,8157,9694,8273,8738,9782,10651,10896,12995,10895,12434,13508,12793,13928,13849,18907,17430,21225,22108,13598,17940,9664,9283,9220,8194,14509,6289
일산,대화,5902,1244,22287,4600,50241,12390,36016,16447,20131,9768,15478,8138,14214,8018,13734,9125,12503,10702,12515,9572,13138,11549,13185,11867,16263,16419,16922,23631,8906,27303,6744,17699,5014,13427,3729,11907
6,대흥,2038,847,4779,3529,11978,10310,15654,25866,9359,14325,7015,8341,6798,7155,7555,7907,8251,8556,8157,7926,9712,8489,11318,9439,15662,11125,20476,17274,9726,12353,7256,7154,7120,6272,6226,4931
경원,덕계,2126,539,5787,1907,10460,2306,8751,3587,4113,1472,3104,1270,2739,1614,2568,1985,2648,1677,2346,1958,2271,2792,2639,2943,3178,4713,3274,6324,1562,7004,931,4697,687,3215,548,2034
중앙,덕소,3089,662,8750,1758,20275,4031,18517,6620,9894,4879,7640,4122,6577,4376,6383,5917,7316,4960,6295,5723,6311,7090,6284,8349,6150,10798,6387,17495,3762,16516,3040,9773,2421,6587,1793,6087
경원,덕정,3182,1449,7602,4976,16591,10392,14078,11179,7696,5475,5811,3829,6494,4198,6375,5244,6284,5111,5822,4190,5950,5554,6797,6686,9669,10471,10974,11558,5207,12451,3426,7821,3005,7400,1933,4207
"3,분당",도곡,1782,1222,5445,9341,12851,24872,17583,39839,11218,29433,8744,12772,9494,10032,10964,10547,12276,11731,12838,10388,16610,10000,20483,10604,30094,13808,35013,18311,17803,15214,11610,8500,10361,7387,6585,5586
중앙,도농,5869,1688,16339,6083,42759,6698,33296,10914,16129,5895,11244,4811,9810,5539,9798,6029,8813,6565,8422,8423,8616,7779,11596,13945,10964,16012,10791,28036,5424,29309,3990,15264,2875,12460,1935,9349
2,도림천,306,274,914,707,2547,3525,2325,5287,1552,1832,1412,1191,1206,1039,1856,1425,1346,1051,1806,1424,2004,1254,2262,1562,2628,1805,3328,2403,1738,2134,747,1170,775,1032,337,712
경원,도봉,6753,1276,8468,2816,17202,4046,16271,9022,10736,6874,8951,7050,8138,6086,7091,6479,8078,7062,8118,7272,7989,9028,7617,10096,8482,10617,9014,15070,4453,13885,2884,7651,2317,6513,1482,4815
"1,7",도봉산,9827,1819,24003,7495,66171,11444,54051,17827,28016,21914,18465,27408,16885,21283,19443,22192,21517,19390,23628,19317,26699,19136,29308,20614,26667,24138,23029,39757,13587,43883,8228,24332,5469,20474,3542,16262
중앙,도심,1532,419,4434,923,11072,1644,7926,5055,3854,1854,2786,1295,2376,1593,2378,1775,2568,1610,2213,1569,2195,2433,2905,2218,3191,3626,3065,4102,1450,6149,1116,2974,867,1961,622,2457
경인,도원,2337,1016,3068,1652,5579,3694,4994,14539,3900,3320,3389,3145,3629,2978,3210,2994,3670,3487,3791,3482,4582,3750,8708,4291,6386,4472,6435,5183,2723,4751,1875,3199,1437,2817,747,1775
경인,도화,3292,743,5545,2374,12826,3359,10036,5555,6186,2873,4608,2667,4113,2780,4163,3450,4414,3511,3984,3789,3879,3789,4694,5473,5258,5832,5212,8052,2642,8250,1816,4890,1404,4087,797,3252
3,독립문,4653,625,4941,4829,13347,12351,15862,18402,10965,10839,9091,8843,8810,7709,9083,7151,9289,8802,9810,8176,10909,8740,12018,9388,11453,11331,14109,15300,6625,11965,4489,6913,3437,6158,2393,4491
6,독바위,1799,278,4053,885,11906,1569,11232,2951,5359,3133,3114,3451,2934,2652,3186,2824,3067,2646,3035,2825,3219,3270,3287,4468,2760,5483,2304,10084,1523,9610,1025,5225,850,4402,644,3643
경부,독산,6226,3226,14270,13274,32683,35973,30312,87252,16061,38417,11760,14023,11417,9670,12848,11596,13088,11243,12748,10208,14390,12459,20543,13939,42689,19252,62711,33604,29917,27289,15234,14528,12143,15754,7116,10381
6,돌곶이,5610,650,10987,3086,27218,4795,31363,12319,15597,7554,9756,5488,8536,5532,8742,6755,8550,7211,8327,7344,7932,9038,8741,10919,9638,14896,10613,24368,7439,20432,4133,12451,3539,9977,2542,8349
"1,4",동대문,18419,4332,11948,18375,17297,44924,22754,94964,25472,82113,28519,64527,35701,57970,42086,49436,44012,49112,52391,47932,58667,42458,68394,35317,97451,29536,84998,26182,41983,31634,29171,20757,29171,14835,16506,11705
"2,4,5",동대문역사문화공원,14675,2484,9189,19599,11724,50515,15637,132496,14037,64849,14782,41474,20606,37994,23548,32031,26062,33898,33793,34153,42284,29892,52429,27528,80720,29231,110987,32363,63637,44469,41869,22997,39378,15786,26060,10597
3,동대입구,1362,1183,1832,7748,4351,13696,5596,42297,4649,19458,4086,11025,4743,9176,5517,8530,6223,8852,8536,8073,9752,6762,14517,6519,28924,7291,26938,8146,12642,5099,8715,3214,8666,3490,6301,2381
경원,동두천,755,574,2430,2813,4158,7436,4409,5061,2910,2724,2731,2851,2432,2933,1952,2455,2436,2265,2374,2829,2737,2653,2811,2486,3329,2489,4100,3821,2238,3594,1267,2712,538,2040,359,1302
경원,동두천중앙,2382,596,4312,2129,7408,3675,7009,8567,4947,3753,4290,3273,4071,3857,4240,3882,4270,4009,3979,3377,3991,4012,3930,4031,5289,5033,6167,4894,2770,5632,1766,4063,1185,2749,751,2486
"1,6",동묘앞,7252,1339,6969,7696,12448,15614,16586,43243,15182,33306,15738,27958,22336,32333,28741,34307,33129,37047,37385,36841,41781,33042,43266,26852,43188,22777,43372,21481,20541,15314,11755,9831,10025,9335,6362,7816
경인,동암,18830,5190,26438,9191,47868,13612,45078,16261,25372,11955,18105,11429,16647,12940,17365,13634,17249,14598,15666,14839,15413,19271,18495,22036,20728,32256,20450,46993,13511,42257,10640,27414,9430,23686,5615,17641
경인,동인천,6707,2968,13574,10953,34952,19682,26015,28191,16475,13388,14155,13751,15174,14938,15827,14826,17019,16044,16911,14994,18642,15440,22662,18151,28877,20043,33065,26958,15633,29204,11152,16644,8325,12987,5119,11092
"4,9",동작,1284,399,2752,4298,8008,5246,10002,8241,6544,4996,4875,4279,4733,4006,4764,4025,5035,4486,5362,4919,5795,5317,6862,5529,8257,7480,10371,10519,5539,7283,4256,4436,3850,3906,2622,2764
경부,두정,3801,708,7124,2225,10785,6017,8389,6963,5590,6523,5227,3876,5126,5373,5309,5897,6203,6975,6289,5796,6390,6070,7455,6912,9546,8931,9580,12672,6321,9447,5090,8790,4177,6240,3376,5574
5,둔촌동,3604,483,7743,5021,20133,9188,22773,17424,10931,9335,8135,6978,7741,6691,8685,7511,8555,8036,8587,8596,9275,9568,10677,11760,12973,15583,16863,23608,8551,16878,6194,8922,5479,7827,3383,5726
92~3단계,둔촌오륜,79,161,634,1350,2445,2587,2861,2410,1234,635,817,527,1108,453,833,567,798,783,1284,699,1605,880,2721,897,1975,1395,1907,2078,979,1741,448,1047,429,918,257,850
9,등촌,4384,790,11432,3544,32138,6220,38456,15080,17139,9072,11968,7279,11307,7959,11920,8977,11515,9854,10969,10285,11403,13315,12043,14679,12350,20601,15518,33198,7464,28428,5637,14916,4965,12325,3249,9521
"6,경희,공항철도 1",디지털미디어시티,8073,3760,18162,16708,55395,49817,60863,130241,31312,54668,18236,22198,17001,17317,18506,18712,18962,19825,19870,18075,23644,19631,31365,23795,61821,34939,113451,59638,48223,45489,26482,25019,21976,21282,14228,16694
2,뚝섬,3447,2083,7187,13290,16678,29231,23434,111969,13757,64084,10363,24125,10524,17056,13080,18252,14921,20271,17488,18950,20530,19331,26100,20565,43627,23922,97330,33071,47398,20857,27544,11244,23529,9579,14280,7119
7,뚝섬유원지,4477,503,7662,3740,17429,5267,24688,10115,15389,7427,7601,5219,6402,6200,6797,7232,7188,8651,7076,10120,8150,12771,9978,13769,12321,18205,15065,27157,11868,20878,9941,12683,11378,12267,10068,7956
5,마곡,1846,1535,5362,4248,17696,8988,17322,30328,9364,20468,7655,9107,7426,6848,7082,7032,7921,8424,8803,7972,10244,7776,12967,8698,17854,9742,25420,16003,11451,13358,6988,6855,5578,5727,3624,4956
"9,공항청도 1",마곡나루,4110,1614,10272,12168,30610,22773,31638,71029,15043,35587,10200,13507,10507,9901,12392,11073,12830,11562,12691,12031,16232,12374,23401,14371,48143,22050,60728,36658,26899,29375,18862,17196,17137,14688,11197,12216
