호선명,지하철역,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원
"5,6",청구,2658,717,5440,3920,11994,10225,16524,35144,10112,16024,7164,7178,6928,6155,7530,6725,8082,7004,8114,6617,8433,7722,10840,8446,13594,10782,23382,15457,14394,10734,8515,6805,7372,6621,4853,5462
7,청담,2207,3427,5638,23835,8239,52288,10942,125399,9067,81272,8320,28809,10223,16225,12753,14853,14020,17201,17045,14347,24546,12846,30432,12341,52278,14054,94726,15538,49308,10699,28106,6996,24976,6636,15869,3610
공항철도 1,청라국제도시,2832,66,12913,3042,25058,6699,14902,14871,7212,3822,4788,2333,5021,2542,5184,3288,4827,3594,3854,3466,4753,4268,6047,5911,9937,8099,16352,16537,4626,19243,3356,10176,2759,8269,2234,6733
"1,경원",청량리,16463,5820,20102,22847,57720,25502,64476,48068,48182,52553,44863,57335,48854,63408,56520,59702,56749,59285,61617,67041,66059,67396,67509,63015,67278,62861,60355,80603,38175,57886,34254,30993,17491,27122,12832,18787
분당,청명,1947,660,5537,1409,13867,4200,13736,7195,5917,2506,3987,2052,3310,2202,3653,2581,3566,3066,3272,3258,3721,3620,4919,4741,5985,6895,6705,10830,3063,10331,2206,6300,1864,5481,1293,4105
경춘,청평,831,118,1765,891,2417,1786,3230,3174,2360,2230,2401,2416,3081,2161,2453,2550,2463,2230,2562,2708,2799,2229,2873,2914,3210,3140,2702,2685,1410,2922,872,1407,590,1594,292,1000
경강,초월,1139,87,3974,799,10175,3226,10747,4690,5357,1575,3071,1395,2966,1488,2764,1666,2678,1928,2416,2053,2397,2589,3296,3523,4148,4251,4523,9181,2080,7613,1314,6887,1111,3911,450,3272
안산,초지,2439,410,6656,3703,15241,7924,10667,9948,5647,3401,3861,2539,3817,2719,4051,3327,3859,3617,3532,3614,3594,4159,4472,4006,6786,6526,9069,11410,4127,10736,3038,6888,2501,5526,1430,4050
4,총신대입구(이수),5602,996,14096,10951,38998,15681,49105,35977,28851,30058,20404,20342,20280,19128,21889,20965,22375,22742,22489,24182,23446,26946,25935,31583,29935,41494,37488,62450,22471,42628,19044,22219,15638,19254,10797,14776
7,춘의,4452,1473,8442,5728,20647,25769,21557,47510,11332,15546,7463,6733,6665,5110,7196,5816,7302,6589,7351,5669,7932,6847,10149,7566,24166,10290,37096,18172,13988,15719,9338,9812,7534,8770,3822,6172
경춘,춘천,300,3,1334,433,1102,1108,1253,2470,1296,1809,1389,1989,1455,2822,1584,2527,2289,2723,2979,2125,3577,2285,3888,1516,3314,1845,2868,1193,1787,2062,1509,975,856,825,432,747
"3,4",충무로,2427,2662,3534,16391,6741,50326,10179,157432,10795,86629,10874,39294,13896,28397,16600,25780,21755,26514,26814,23148,30578,19927,39877,19767,73482,21552,126915,23998,60077,14500,38868,7495,35682,7165,22310,5458
"2,5",충정로,3999,1100,7451,6513,18319,25694,24720,81503,15079,38908,11498,14117,12332,10925,12284,10096,13318,12152,14065,11108,15537,11763,17699,13066,32452,16705,68101,24032,21315,17595,12237,10976,10672,10841,6448,8311
경의,탄현,4584,466,14399,2456,32752,5344,19040,7682,10079,4966,7446,3546,7225,3878,7098,5061,6455,4851,6321,5493,6624,6619,6915,7846,7288,13032,8883,21650,4660,25534,3729,13536,3369,9621,2328,7773
"6,7",태릉입구,10204,2315,12408,7108,34244,10221,39813,21902,21442,13610,14556,10348,13234,10237,14027,11071,14448,12916,14436,12601,14420,14809,16334,17958,19799,23225,21740,37833,13792,33732,9979,18645,9524,17831,7174,13623
분당,태평,14374,1533,17795,5115,35440,7543,53805,15047,32239,10305,17420,9697,14452,10842,14585,11523,14589,12315,14053,14134,13096,19889,13815,20930,15993,27305,16271,39506,8837,29030,6944,20578,4982,23291,3705,14981
경춘,퇴계원,2383,540,5501,1727,16162,3197,11784,3861,6821,2033,4419,2123,3576,2371,3795,2468,3623,2530,3114,2918,3299,3763,3276,4630,3964,6918,4685,11008,2490,9555,1565,6292,1399,3751,867,4095
경의,파주,746,6,1054,669,2310,2276,2012,3429,1235,971,1230,1045,1062,927,1284,1088,1344,853,1425,798,1445,945,2291,984,3308,1035,3995,1130,977,1091,604,876,737,718,275,606
경강,판교,608,18,1304,5208,3612,9313,2712,20480,1521,14449,1430,5828,2045,4136,2278,3032,2450,3203,3143,2648,5332,2672,5465,3052,10241,4167,17141,3699,11561,3002,10354,1255,6777,1031,2651,665
중앙,팔당,243,126,513,836,1440,1505,1228,2398,1058,3887,1036,2742,1144,2756,1213,2607,1620,1691,2132,1989,2534,1861,2917,1567,3233,1756,2794,1502,2291,1354,1653,511,1315,437,819,372
경춘,평내호평,4850,893,8179,2256,23551,4301,15019,8507,7666,5284,6724,4483,5928,3970,6746,5067,5704,5382,5560,5984,6100,6216,6411,6887,6787,12021,7693,15088,4233,18848,3243,7899,3452,7434,2551,5099
